seed,num_steps,connected_steps,connected_ratio,ever_connected,first_connected_step,last_connected_step,num_disappear_events,first_disappear_step,final_connected,final_node_count,persistent_after_first_connection,persistent_threshold_step,always_connected
395,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
399,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
400,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
401,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
403,1201,1201,1.0,1,0,1200,0,,1,14,1,1075,1
405,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
407,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
408,1201,1201,1.0,1,0,1200,0,,1,15,1,1075,1
409,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
411,1201,1201,1.0,1,0,1200,0,,1,16,1,1075,1
412,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
414,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
415,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
416,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
418,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
420,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
422,1201,1201,1.0,1,0,1200,0,,1,17,1,1075,1
423,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
424,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
425,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
426,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
428,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
429,1201,1201,1.0,1,0,1200,0,,1,17,1,1075,1
430,1201,1201,1.0,1,0,1200,0,,1,16,1,1075,1
431,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
432,1201,1201,1.0,1,0,1200,0,,1,24,1,1075,1
433,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
435,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
436,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
438,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
439,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
440,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
441,1201,1201,1.0,1,0,1200,0,,1,17,1,1075,1
443,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
444,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
445,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
447,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
448,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
449,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
450,1201,1201,1.0,1,0,1200,0,,1,24,1,1075,1
451,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
452,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
453,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
454,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
455,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
458,1201,1201,1.0,1,0,1200,0,,1,24,1,1075,1
460,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
461,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
462,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
464,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
465,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
466,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
468,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
469,1201,1201,1.0,1,0,1200,0,,1,16,1,1075,1
470,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
471,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
472,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
473,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
474,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
475,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
477,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
482,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
484,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
486,1201,1201,1.0,1,0,1200,0,,1,15,1,1075,1
487,1201,1201,1.0,1,0,1200,0,,1,17,1,1075,1
488,1201,1201,1.0,1,0,1200,0,,1,15,1,1075,1
489,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
491,1201,1201,1.0,1,0,1200,0,,1,8,1,1075,1
492,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
493,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
495,1201,1201,1.0,1,0,1200,0,,1,14,1,1075,1
